L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
ຜູ້ບ່າວ,/pʰuː˨˩ baːo˧˧/,boyfriend,,
ຜູ້ສາວ,/pʰuː˨˩ saːo˩˨/,girlfriend,,
ຜົວ,/pʰua˩˨/,husband,,
ເຜິ້ງ,/pʰɤŋ˨˩/,bee (insect).,,
ແຜນທີ່,/pʰɛːn˩˨ tʰiː˦˦/,map,,
ໄຜ່,/pʰai˧˧/,bamboo,,
ຝະລັ່ງ,/fa˦˥ laŋ˧˧/,"Frenchman, white foreigner, (botany) Siam weed, Chromolaena",,
ຝະລັ່ງ,/fa˦˥ laŋ˧˧/,French; foreign,,
ຝາ,/faː˩˧/,"cover, lid, cap, cowl, wall, partition",,
ຝາ,/faː˩˧/,(zoology) skate (Daciatus species),,
ຝາ,/faː˩˧/,palm (of hand); sole (of foot),,
ຝາ,/faː˩˧/,(zoology) skate (Daciatus species),,
ຝາ,/faː˩˧/,palm (of hand); sole (of foot),,
ຝາ,/faː˩˧/,palm (of hand); sole (of foot),,
ຝາກັ້ນ,/faː˩˧ kan˥˧/,"partition, (interior) wall",,
ຝ້າຍ,/faːj˨˩/,cotton,,
ຝີ່ນ,/fiːn˧˧/,"(botany) opium poppy, opium",,
ພໍ່,/pʰɔː˦/,father,,
ພຽງ,/pʰiaŋ˦˥/,"even, flat",,
ພຽງ,/pʰiaŋ˦˥/,"only, just; in all",,
ພຣະ,/pʰraʔ˧˧/,"(used before gods, kings, holy objects etc.; sometimes",,
ພຣະ,/pʰraʔ˧˧/,"Buddha, king, priest, prince, holy image",,
ພຣະເຈົ້າ,/pʰraʔ˧˧ tɕau˥˦/,Buddha,,
ພວກເຮົາ,/pʰuak˥˧ hau˦˥/,we; us,,
ພະມ້າ,/pʰaʔ˧˧ maː˥˦/,"Burma, Myanmar, Burman, Burmese",,
