L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
firavîn,/fɪɾɑːˈviːn/,lunch,,
fireh,/fɪˈɾɛh/,"wide, broad, spacious, capacious",*pr̥θúš,ˈæstɚɹˌɪsk pˌiːˈɑː͡ɹ
firotin,/fɪɾoːˈtɪn/,sell,,
firrîn,/fɪɾˈɾiːn/,to fly,,
firîn,/fɪˈɾiːn/,fly,,
fis,-ɪs,fart,,
fistiq,/fɪsˈtɪq/,pistachio,,
fonetîk,/foːnɛˈtiːk/,phonetics,,
frên,/fɾeːn/,"brake (of a vehicle, etc.)",,
fîl,-iːl,elephant,,
fîrma,/fiːɾˈmɑː/,"company (in legal context, a corporation)",,
fîtotomî,/fiːtoːtoːˈmiː/,phytotomy,,
ga,-ɑː,"ox, bull",,
garantî,/ɡɑːɾɑːnˈtiː/,guarantee,,
gazî,/ɡɑːˈziː/,"call, shout, exclamation",,
gelek,/ɡɛˈlɛk/,"much, many, a lot
Ji gelek kesên din re spas.Thanks to many others.",,
genim,/ɡɛˈnɪm/,wheat,,
gerden,/ɡɛɾˈdɛn/,"neck, throat, collar",,
germ,-ɛɾm,warm,*garmáh,ˈæstɚɹˌɪsk ɡˈɑː͡ɹm
gewdeyî,/ɡɛwdɛˈjiː/,bodily,,
gewr,/ɡɛwɾ/,grey/gray,,
gewrî,/ɡɛwˈɾiː/,"pharynx, larynx, throat",*gʷel-,ˈæstɚɹˌɪsk d͡ʒˈiːˈɛl
gihanek,/ɡɪhɑːˈnɛk/,stage (phase),,
giran,-ɑːn,heavy,,
girav,-ɑːv,island,,
girrnijîn,/ɡɪrnɪˈʒiːn/,to smile,,
girtin,/ɡɪɾˈtɪn/,to close,,
girtî,[ɡʔɤːrtiː],closed,,
girtîgeh,/ɡɪɾtiːˈɡɛh/,prison,,
girêdan,/ɡɪɾeːˈdɑːn/,link,,
girîng,/ɡɪˈɾiːŋɡ/,important,,
giya,-ɑː,grass,,
gizêr,/ɡɪˈzeːɾ/,carrot,,
giş,-ɪʃ,all,,
giştî,/ɡɪʃˈtiː/,public,,
gog,-oːɡ,ball,*gog,ˈæstɚɹˌɪsk ɡˈɑːɡ
gor,/ɡoːr/,grave,,
goristan,/ɡoːrɪsˈtɑːn/,cemetery,,
gotar,-ɑːɾ,article,,
gotin,/ɡoːˈtɪn/,say,,
govend,/ɡoːˈvɛnd/,dance,,
